NO,課程碼,主開課程碼,開課單位,科目名稱,學分,選別,期次,授課教師/專長,授課語言,週別,星期,節次,教室,週別,星期,節次,教室,週別,星期,節次,教室,是否開放大四生上修,備註,可選課年級／分發優先順序,課程人數／屬性資料,通識領域／學群,是否開放選課條,大綱
59,D020034711,,歷史系,影劇中的美國史 American History from the Movies,2.00,選,學期,馮卓健 專長： 美國史、政治思想史、世界史、歐洲早期近代史,中英文,全,二(Tue),D3-D4,LI203,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
60,D020036153,,歷史系,民國史專題 Seminar : History of Republican China,2.00,選,學期,林桶法 專長： 中國近現代史、國共內戰、檔案與口述、台灣近現代史、抗日戰爭,中文,全,三(Wed),D3-D4,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
61,D020036156,,歷史系,二十世紀伊朗外交史 Diplomatic History of 20th-Century Iran 英-專業,2.00,選,學期,陳立樵 專長： 20世紀初期英國與伊朗外交關係、現代西方與中東關係,全英文,全,二(Tue),D3-D4,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
62,D020037534,,歷史系,歐洲近代性別與婦女 Gender and Women in Modern Europe,2.00,選,學期,汪采燁 專長： 十八世紀英國政治、十八世紀英國女性、旅遊史、啟蒙運動,中文,全,四(Thu),D3-D4,LI204,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
63,D020037537,,歷史系,中國墓葬考古與文物(二) Tombs and Cultural Relics of Archaeology in ChinaⅡ,2.00,選,學期,古怡青 專長： 魏晉南北朝史、隋唐史、 政治軍事史、 法制史、 歷史地理,中文,全,五(Fri),D7-D8,LI200,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
64,D020037539,,歷史系,東南亞現代史 The History of Modern Southeast Asia,2.00,選,學期,楊惟安 專長： 歐洲飲食文化史,中文,全,一(Mon),D3-D4,LI204,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
65,D030201556,,哲學二,佛學概論 Introduction to Buddhism,2.00,選,學年,劉貴傑 專長： 印度佛學、魏晉哲學以及中國佛學,中文,全,五(Fri),D3-D4,LI406,,,,,,,,,否,開學第一週未到課者不提供加選,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
66,D030201563,,哲學二,宋代理學 Philosophy of Sung Dynasty,2.00,選,學期,鄧康宏 專長： 哲學、中國哲學、中國哲學史、儒家哲學、工夫論、比較哲學,中文,全,二(Tue),D5-D6,LI402,,,,,,,,,否,開學第一次上課未到不提供加選,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
67,D030201675,,哲學二,法家哲學 Philosophy of Legalism,2.00,選,學年,傅玲玲 專長： 儒家哲學、法家哲學,中文,全,四(Thu),D3-D4,LI306,,,,,,,,,否,第一週未到課不提供加選,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
68,D030202431,,哲學二,當代中國哲學 Contemporary Chinese Philosophy,2.00,選,學期,沈享民 專長： 知識論、新儒家哲學、當代中國哲學、倫理學,中文,全,五(Fri),D5-D6,LI304,,,,,,,,,否,開學第一次上課未到不提供加選,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
